frame_number,tracked_points_count,speed_kph
1,4,0.22
2,5,0.17
3,5,0.28
4,5,0.96
5,5,0.46
6,5,12.27
7,5,23.11
8,5,27.52
9,3,46.33
10,4,53.01
11,3,50.77
12,5,78.13
13,7,83.18
14,11,84.84
15,11,89.5
16,11,95.71
17,11,100.85
18,11,108.11
19,11,116.9
20,11,125.39
21,19,121.85
22,19,131.59
23,19,142.31
24,19,154.14
25,19,167.81
26,19,182.76
27,19,200.95
28,19,221.48
29,19,245.44
30,19,274.96
31,6,0.02
32,6,0.24
33,6,0.9
34,5,0.23
35,5,0.03
36,5,0.07
37,5,0.22
38,5,0.18
39,5,0.03
40,5,0.15
41,5,0.03
42,6,10.1
43,6,20.96
44,6,19.17
45,4,36.17
46,8,37.25
47,8,38.2
48,7,36.06
49,7,36.24
50,7,38.55
51,7,52.31
52,6,62.04
53,6,61.38
54,5,41.56
55,7,33.46
56,6,21.16
57,1,0.14
58,3,0.03
59,3,0.03
60,2,0.93
61,2,0.04
62,2,0.32
63,2,0.22
64,2,0.38
65,2,0.19
66,2,0.01
67,2,0.01
68,2,0.12
69,2,0.1
70,3,0.29
71,2,0.0
72,2,0.49
73,3,0.55
74,3,0.5
75,3,0.71
76,3,0.04
77,3,0.28
78,2,0.08
79,3,0.07
80,3,0.67
81,4,0.06
82,3,0.02
83,3,0.01
84,3,0.09
85,3,0.69
86,4,0.03
87,4,0.31
88,3,0.01
89,3,0.01
90,3,0.5
91,3,0.06
92,3,0.11
93,3,0.09
94,4,19.16
95,6,35.77
96,3,49.24
97,7,45.59
98,7,45.16
99,7,51.05
100,7,57.45
101,8,63.17
102,8,62.86
103,8,66.78
104,6,53.88
105,7,49.71
106,6,40.83
107,5,26.61
108,4,0.18
109,4,0.08
110,4,0.45
111,4,1.42
112,3,0.1
113,4,0.04
114,4,0.02
115,4,0.48
116,3,0.13
117,3,0.01
118,3,0.28
119,3,0.0
120,3,0.01
121,3,0.04
122,3,0.0
123,3,0.01
124,3,0.18
125,3,0.01
126,3,0.59
127,3,0.8
128,3,0.83
129,3,0.06
130,3,0.63
131,3,0.06
132,3,0.67
133,3,0.1
134,3,0.26
135,3,0.09
136,3,0.09
137,3,0.5
138,3,0.14
139,3,0.01
140,3,0.01
141,3,0.01
142,3,0.18
143,3,0.02
144,3,0.01
145,3,0.0
146,3,0.01
147,3,0.0
148,3,0.11
149,3,0.06
150,3,0.06
151,3,0.0
152,3,3.87
153,5,0.03
154,5,0.04
155,6,0.02
156,6,0.32
157,6,0.06
158,6,0.44
159,6,0.23
160,6,0.01
161,6,0.01
162,6,1.17
163,5,0.14
164,5,0.09
165,5,0.19
166,4,0.26
167,4,1.22
168,5,0.79
169,5,0.3
170,5,0.14
171,5,0.03
172,5,0.27
173,5,0.18
174,6,13.76
175,7,22.88
176,7,23.59
177,5,47.45
178,8,34.41
179,9,41.22
180,9,44.18
181,9,49.72
182,9,47.24
183,9,49.87
184,7,28.38
185,8,46.64
186,6,22.39
187,2,0.04
188,5,0.16
189,5,0.01
190,5,0.01
191,5,1.01
192,5,1.07
193,5,0.18
194,5,0.15
195,5,0.29
196,4,0.41
197,4,1.0
198,5,0.01
199,5,0.68
200,5,0.55
201,5,0.02
202,5,0.02
203,5,0.12
204,5,0.26
205,5,0.02
206,5,0.01
207,5,0.04
208,5,0.01
209,5,0.0
210,5,0.01
211,6,9.71
212,9,28.91
213,8,29.16
214,9,32.58
215,7,32.67
216,9,33.82
217,11,47.12
218,11,51.86
219,11,52.65
220,11,50.76
221,11,53.63
222,11,61.08
223,11,64.44
224,11,67.22
225,11,74.78
226,11,73.11
227,11,79.5
228,11,86.75
229,11,91.31
230,11,98.4
231,5,0.01
232,5,0.05
233,5,9.68
234,6,20.43
235,6,35.84
236,5,38.95
237,5,56.16
238,6,61.98
239,6,61.29
240,9,74.27
241,10,80.86
242,10,85.6
243,10,90.5
244,10,96.12
245,10,102.92
246,10,109.32
247,10,116.86
248,10,124.78
249,10,135.87
250,10,146.43
251,15,125.13
252,15,135.28
253,15,147.27
254,15,161.03
255,15,174.91
256,15,191.19
257,15,211.85
258,15,233.48
259,15,260.5
260,13,321.85
261,5,0.05
262,5,0.16
263,5,0.18
264,5,0.64
265,5,0.14
266,5,12.03
267,5,11.92
268,5,26.31
269,5,25.32
270,4,38.17
271,5,53.96
272,6,62.11
273,3,76.3
274,5,83.18
275,8,81.12
276,13,84.08
277,13,89.44
278,13,95.26
279,13,102.27
280,13,108.92
281,18,116.04
282,18,125.55
283,18,135.87
284,18,147.03
285,18,160.24
286,18,173.56
287,18,191.4
288,18,209.81
289,18,232.68
290,18,339.66
291,7,75.07
292,9,83.31
293,10,68.37
294,10,72.35
295,10,90.13
296,10,91.53
297,10,126.62
